blue100H,blue100V,blue500H,blue500V,blueAvg,green100H,green100V,green500H,green500V,greenAvg,label,red100H,red100V,red500H,red500V,redAvg
176.08,174.22,188.32,39.52,77.5657433159,190.48,188.22,202.96,75.86,106.864511884,4,187.68,186.22,198.56,160.26,171.957580345
183.3,185.04,199.44,120.42,84.6347894821,197.38,199.84,209.16,141.0,112.179593865,4,195.22,194.82,202.32,166.56,172.086946688
181.54,182.72,117.38,85.46,78.8158543264,191.82,194.44,123.26,96.84,85.2090143792,5,198.94,197.0,188.74,216.36,164.894826684
215.24,214.84,208.82,79.46,78.5664996852,221.72,220.2,217.18,108.22,86.5033775578,5,222.4,219.76,219.78,220.98,180.427932611
173.08,174.04,157.14,115.84,81.9162420165,188.92,188.76,170.18,170.86,152.721787984,1,187.84,187.44,168.18,163.54,149.314287943
207.82,208.1,192.06,141.5,93.0823891696,215.82,215.74,198.06,195.92,149.173287571,2,214.82,215.48,197.06,208.74,164.19251152
238.94,236.2,218.62,229.46,115.24750616,245.94,243.84,226.62,236.46,176.138266031,1,242.94,242.12,225.62,233.46,175.27324761
104.04,99.24,11.24,12.62,46.0389629882,124.84,123.88,63.4,49.18,79.9543304156,3,136.64,134.16,158.98,117.58,173.299565119
161.58,160.26,47.48,50.22,68.6259160305,175.94,174.54,81.56,71.9,102.019180629,4,173.22,171.98,182.46,147.32,178.562319818
216.06,218.26,200.9,219.48,107.445947537,222.06,223.54,213.58,226.48,121.907051722,5,221.06,223.98,212.86,223.48,185.270435602
166.48,172.68,151.26,68.64,72.621299895,171.76,175.92,158.34,94.96,88.2030856667,5,162.78,166.2,153.18,193.72,173.483619866
216.34,215.74,201.74,215.8,73.2515114321,224.34,223.74,216.94,222.8,137.875274481,2,223.34,222.74,217.64,219.8,163.040498832
216.0,216.0,210.24,214.0,108.429654834,222.0,222.0,214.24,222.0,130.63635065,5,221.0,221.0,219.24,221.0,193.054159334
158.1,159.08,101.62,171.78,61.2134018284,165.42,166.4,113.26,179.74,124.181812344,2,161.14,161.32,119.34,176.28,152.181509381
148.64,150.9,167.44,143.62,87.6668883351,163.8,163.28,170.14,157.62,106.659577559,5,155.2,157.32,163.9,155.62,171.58260657
185.18,184.4,76.22,179.7,71.1188281358,196.5,195.4,122.36,190.0,99.5593753172,3,188.5,187.4,174.66,185.52,171.215322236
150.18,156.8,20.44,34.92,43.8703211285,170.02,173.96,69.24,67.22,78.1671922569,3,179.84,180.46,155.56,179.9,172.157880087
172.94,170.54,104.46,64.28,86.7900022248,179.94,177.54,114.76,74.4,95.9877647933,5,176.94,174.54,179.28,138.44,169.738301535
198.0,199.06,179.58,203.86,84.9453810858,205.68,207.06,187.5,207.86,129.436504629,3,198.68,200.06,180.5,197.86,180.175421354
206.7,206.02,201.36,151.52,82.3620708377,213.62,214.06,208.68,188.66,140.63866625,2,210.94,211.7,204.4,207.9,175.647570649
139.14,140.34,42.1,128.02,53.2668689052,153.14,152.42,55.06,137.48,77.4050152841,4,149.14,149.38,130.96,147.38,176.698499095
177.86,177.16,57.36,159.32,78.3547324266,186.18,186.76,73.94,170.12,92.9753603813,4,185.26,185.52,168.3,195.1,182.153376153
207.9,207.68,203.46,199.76,75.4579632601,215.1,214.68,211.92,206.76,118.927667112,3,209.76,210.24,209.22,203.76,181.013108957
225.38,226.8,223.38,227.72,107.838949429,233.38,236.22,229.86,237.0,154.170624823,3,226.38,228.9,223.14,226.16,184.516761541
156.6,156.02,170.42,144.44,104.752953067,171.6,169.18,179.42,153.28,159.525428746,2,167.6,167.82,176.42,151.48,185.578462272
191.04,192.06,166.44,190.92,112.144950472,199.04,199.1,177.32,201.2,168.759074174,2,192.04,193.38,174.02,193.16,183.381347589
112.12,112.4,51.88,112.16,71.5589858736,121.72,121.52,82.74,118.84,123.434657229,3,122.52,121.76,116.56,116.48,165.619767523
188.16,189.02,27.74,77.84,55.5358799631,187.64,188.74,175.32,113.62,139.972326108,2,183.0,183.3,214.26,129.32,180.099073395
227.22,226.8,225.3,211.72,96.5896928765,234.22,233.8,232.3,223.02,153.958818183,2,230.5,228.8,229.3,213.9,192.510217625
207.82,208.32,71.66,52.32,49.0049862533,215.46,215.32,85.92,77.16,68.6610077914,5,212.46,212.32,201.46,217.12,187.087814788
151.18,148.1,95.96,133.5,78.7421316714,168.96,167.22,118.4,154.1,105.851469473,5,170.96,168.22,148.74,161.34,190.342580071
128.7,137.0,37.12,9.88,49.7515345134,140.74,144.96,94.08,88.8,139.868623151,2,142.42,144.26,109.7,112.02,155.155438306
213.34,213.52,37.42,187.38,76.6559499314,221.62,222.12,128.6,212.54,130.580596444,2,220.06,219.92,183.34,218.26,162.364374579
200.42,203.0,200.76,197.56,98.1101484997,207.72,210.0,207.76,204.56,130.262822146,3,205.28,207.0,204.76,200.92,173.433084682
145.64,141.3,160.36,89.36,92.3865419395,158.64,154.3,174.56,115.08,156.127869246,2,166.64,162.3,176.84,133.4,184.052374958
